Address description,Price,Rooms,Rooms detailed,Surface area,Bathrooms,Floor,House type,Total building floors,Year of construction,Condition,Energy Efficiency,URL
"3-room flat via Giovanni Servais 35, Parella, Turin","€ 89,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",75 m²,,2°,Apartment | Full ownership | Economic property class,5 floors,1950,To be refurbished,G,https://www.immobiliare.it/en/annunci/101039479/
"Apartment corso Monte Grappa 37, Parella, Turin","€ 330,000",5,"5 (3 bedrooms, 2 others), 1 bathroom, kitchen diner",130 m²,,"6°, with lift",Apartment | Full ownership | Economic property class,7 floors,1960,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/99740246/
"4-room flat via Pellice 19, Cenisia, Turin","€ 149,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",95 m²,2,"3°, with lift",Apartment | Full ownership | Medium property class,5 floors,1940,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/99150924/
"3-room flat via Lauro Rossi 36/16, Barriera di Milano, Turin","€ 69,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",75 m²,,2°,Apartment | Full ownership | Medium property class,4 floors,1960,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/99124298/
"3-room flat via Edoardo Daneo 13, Mirafiori Nord, Turin","€ 99,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",82 m²,,"Mezzanine, with lift",Apartment | Full ownership | Medium property class,6 floors,1960,To be refurbished,F,https://www.immobiliare.it/en/annunci/98797814/
"3-room flat via Vincenzo Monti 1, San Salvario - Dante, Turin","€ 155,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",75 m²,,3°,Apartment | Full ownership | Medium property class,4 floors,1960,To be refurbished,F,https://www.immobiliare.it/en/annunci/98574108/
"4-room flat via Giulia di Barolo, Vanchiglia, Turin","€ 99,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",70 m²,2,"1°, with lift, with disabled access",Apartment | Bare ownership | Medium property class,5 floors,1800,To be refurbished,G,https://www.immobiliare.it/en/annunci/101543335/
"2-room flat via Beinasco 26, Aurora, Turin","€ 46,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",55 m²,,4°,Apartment | Full ownership | Medium property class,5 floors,1950,To be refurbished,G,https://www.immobiliare.it/en/annunci/101443379/
"Apartment via BOSTON, 59, Santa Rita, Turin","€ 248,000",5,"5 (2 bedrooms, 3 others), 2 bathrooms, kitchenette",130 m²,2,"6°, with lift",Apartment | Full ownership | Medium property class,6 floors,1969,To be refurbished,G,https://www.immobiliare.it/en/annunci/101323131/
"3-room flat via Gravere 8, Parella, Turin","€ 109,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",90 m²,,Mezzanine,Apartment | Full ownership | Economic property class,5 floors,1950,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/101314023/
"4-room flat corso Traiano 28/15, Mirafiori Sud - Onorato Vigliani, Turin","€ 209,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",110 m²,,"6°, with lift",Apartment | Full ownership | Economic property class,14 floors,1960,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/100766769/
"3-room flat via Rodolfo Renier 9, San Paolo, Turin","€ 179,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",90 m²,,"5° floor, with lift",Apartment | Full ownership | Medium property class,7 floors,1960,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/100721907/
"3-room flat via Salbertrand 73, Parella, Turin","€ 149,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",75 m²,,1°,Apartment | Full ownership | Economic property class,5 floors,1950,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/99444746/
"Attic via Santa Chiara 34, Quadrilatero Romano, Turin","€ 165,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",88 m² - See detail,,"2 floors: Basement (-1), 4°, with lift",Attic | Full ownership | Stately property class,4 floors,1700,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/101339335/
"3-room flat via Nizza 216, Lingotto, Turin","€ 149,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",100 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,8 floors,1950,To be refurbished,F,https://www.immobiliare.it/en/annunci/100538378/
"2-room flat via Santa Maria 2, Quadrilatero Romano, Turin","€ 190,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",65 m²,,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,1700,Excellent / Refurbished,C,https://www.immobiliare.it/en/annunci/98970504/
"4-room flat via San Massimo 5/B, Via della Rocca, Turin","€ 490,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",120 m²,2,"3°, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1870,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/96714848/
"4-room flat corso Canonico Giuseppe Allamano, Città Giardino, Turin","€ 199,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchenette",110 m²,,1°,Apartment | Full ownership | Medium property class,2 floors,1960,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/96175128/
"4-room flat via Monte Rosa 30, Barriera di Milano, Turin","€ 92,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen diner",96 m²,,2°,Apartment | Full ownership | Economic property class,3 floors,1070,New / Under construction,D,https://www.immobiliare.it/en/annunci/95842882/
"3-room flat via Domodossola 55, Parella, Turin","€ 80,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",80 m²,2,Ground floor,Apartment | Full ownership | Economic property class,3 floors,1940,To be refurbished,G,https://www.immobiliare.it/en/annunci/95828668/
"3-room flat corso Casale 114, Madonna del Pilone, Turin","€ 99,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",70 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,3 floors,1950,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/92344650/
"2-room flat via Eusebio Bava 36, Vanchiglia, Turin","€ 89,000",2,"2 (1 bedroom, 1 other), 2 bathrooms, kitchen diner",55 m²,2,"Ground floor, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1900,New / Under construction,G,https://www.immobiliare.it/en/annunci/90733695/
"4-room flat via RAGUSA, 15, Santa Rita, Turin","€ 208,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen nook",125 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,6 floors,1970,To be refurbished,G,https://www.immobiliare.it/en/annunci/101172947/
"4-room flat corso Bernardino Telesio 121, Parella, Turin","€ 300,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen nook",95 m² - See detail,2,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,2023,New / Under construction,A+,https://www.immobiliare.it/en/annunci/100930729/
"3-room flat via Sebastiano Taricco, Centro Europa, Turin","€ 54,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",90 m²,,"Ground floor, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1970,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100425772/
"3-room flat via Testona 31, Italia 61, Turin","€ 147,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",80 m² | commercial 92 m² - See detail,,"2°, with lift",Apartment | Full ownership | Stately property class,8 floors,1972,To be refurbished,F,https://www.immobiliare.it/en/annunci/98721238/
"3-room flat corso Alcide De Gasperi 21, Crocetta, Turin","€ 359,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",87 m²,2,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,1900,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/97792136/
"4-room flat corso Moncalieri 252, Cavoretto, Turin","€ 219,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",80 m² | commercial 83.05 m² - See detail,,3°,Apartment | Full ownership | Medium property class,3 floors,1910,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/97694546/
"3-room flat via GORIZIA, 196, Santa Rita, Turin","€ 165,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchenette",88 m²,,"4°, with lift",Apartment | Full ownership | Medium property class,7 floors,1960,Excellent / Refurbished,C,https://www.immobiliare.it/en/annunci/101525833/
"4-room flat corso Filippo Turati 10/B, San Secondo, Turin","€ 349,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",110 m²,2,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,9 floors,1970,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101217343/
"3-room flat piazza Tommaso Campanella 7, Parella, Turin","€ 129,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",75 m²,,"6°, with lift",Apartment | Full ownership | Economic property class,8 floors,1950,To be refurbished,G,https://www.immobiliare.it/en/annunci/99451428/
"3-room flat via Borgomanero 36, Parella, Turin","€ 87,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",70 m²,,3°,Apartment | Full ownership | Medium property class,4 floors,1950,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/99106818/
"Studio via Nizza 26, San Secondo, Turin","€ 95,000",,"1 bedroom, 1 bathroom, kitchen nook",33 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,6 floors,1973,Excellent / Refurbished,A3,https://www.immobiliare.it/en/annunci/98732482/
"2-room flat via Porta Palatina 2, Quadrilatero Romano, Turin","€ 199,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",70 m² - See detail,,"2 floors: Semi-basement, 1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,1920,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/98694380/
"Apartment via Riccardo Sineo 12, Vanchiglia, Turin","€ 549,000",5,"5 (2 bedrooms, 3 others), 2 bathrooms, kitchen diner",150 m²,2,"5°, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1900,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/96948552/
"Apartment via Puccini 11, Barriera di Milano, Turin","€ 104,900",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",90 m²,2,3°,Apartment | Full ownership | Medium property class,3 floors,1945,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/94933800/
"Apartment via Vittorio Bottego 8, Crocetta, Turin","€ 199,000",5,"5 (3 bedrooms, 2 others), 1 bathroom, kitchen diner",120 m²,,"Mezzanine, with lift",Apartment | Full ownership | Medium property class,6 floors,1940,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/93676616/
"Apartment via Scalenghe 3, Cenisia, Turin","€ 269,000",5+,"5+ (3 bedrooms, 3 others), 2 bathrooms, kitchen diner",160 m² - See detail,2,"2 floors: Ground floor, 1°, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1967,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101598693/
"2-room flat corso Monte Grappa 11, Parella, Turin","€ 78,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",60 m²,,Mezzanine,Apartment | Full ownership | Medium property class,7 floors,1970,To be refurbished,G,https://www.immobiliare.it/en/annunci/100110374/
"4-room flat via Chiesa della Salute 149/9, Borgo Vittoria, Turin","€ 115,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchenette",100 m²,,"5°, with lift, with disabled access",Apartment | Full ownership | Medium property class,10 floors,1960,To be refurbished,G,https://www.immobiliare.it/en/annunci/99306558/
"3-room flat via luini 81, Madonna di Campagna, Turin","€ 89,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",75 m²,,"6°, with lift",Apartment | Full ownership | Medium property class,6 floors,1960,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/97316064/
"2-room flat via Exilles 30, Parella, Turin","€ 119,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",65 m²,,"2°, with lift",Apartment | Full ownership | Economic property class,5 floors,1960,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/97025748/
"3-room flat via Rochemolles 20, Parella, Turin","€ 78,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",70 m²,,5°,Apartment | Full ownership | Medium property class,5 floors,1960,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/96166926/
"Apartment via San Secondo 78, Crocetta, Turin","€ 420,000",5+,"5+ (4 bedrooms, 3 others), 2 bathrooms, kitchen diner",230 m²,2,3°,Apartment | Full ownership | Stately property class,3 floors,1910,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100662767/
"2-room flat via Luigi Palma di Cesnola 56, Mirafiori Nord, Turin","€ 75,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",63 m²,,"3°, with lift",Apartment | Full ownership | Stately property class,6 floors,1950,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/99772854/
"4-room flat via Clemente Damiano Priocca 10, Aurora, Turin","€ 159,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen diner",98 m² - See detail,,"2 floors: 1°, 3°, with lift",Apartment | Full ownership | Medium property class,5 floors,1930,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/99280036/
"4-room flat via Don Giovanni Bosco 104, Don Bosco, Turin","€ 198,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",110 m²,2,"7°, with lift",Apartment | Full ownership | Stately property class,8 floors,1960,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/98511160/
"3-room flat via Monte Pertica 3, Parella, Turin","€ 90,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",70 m²,,1°,Apartment | Full ownership | Medium property class,4 floors,1953,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/89492929/
"2-room flat via Frejus 142, Pozzo Strada, Turin","€ 75,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",50 m²,,2°,Apartment | Full ownership | Medium property class,5 floors,1950,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101055079/
"Apartment corso Luigi Einaudi 51, Crocetta, Turin","€ 449,000",5+,"5+ (3 bedrooms, 3 others), 2 bathrooms, kitchen diner",163 m² - See detail,2,"2 floors: Basement (-1), 4°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,1965,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/100355538/
"3-room flat via Vittorio Asinari di Bernezzo 1, Parella, Turin","€ 99,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",65 m²,,"Mezzanine, with disabled access",Apartment | Full ownership | Economic property class,2 floors,1940,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/99447648/
"Attic corso Regina Margherita 144, Aurora, Turin","€ 220,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen nook",100 m²,2,"3°, with lift",Attic | Full ownership | Medium property class,3 floors,1950,Excellent / Refurbished,C,https://www.immobiliare.it/en/annunci/97093462/
"3-room flat corso Benedetto Croce 38/10, Mirafiori Sud - Onorato Vigliani, Turin","€ 124,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",90 m²,,"2°, with lift, with disabled access",Apartment | Full ownership | Medium property class,9 floors,1966,New / Under construction,G,https://www.immobiliare.it/en/annunci/95652946/
"3-room flat via Franco Bonelli, Quadrilatero Romano, Turin","€ 115,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchenette",50 m²,,4°,Apartment | Full ownership | Medium property class,5 floors,1817,To be refurbished,,https://www.immobiliare.it/en/annunci/101245321/
"3-room flat via Schio 9, Aurora, Turin","€ 115,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",85 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,7 floors,1970,To be refurbished,F,https://www.immobiliare.it/en/annunci/101090187/
"2-room flat corso Monte Cucco, 101, Pozzo Strada, Turin","€ 119,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",62 m²,,"9°, with lift",Apartment | Full ownership | Medium property class,9 floors,1959,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/101087443/
"2-room flat corso Vercelli 148, Barriera di Milano, Turin","€ 25,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",36 m²,,3°,Apartment | Full ownership | Medium property class,3 floors,1900,To be refurbished,G,https://www.immobiliare.it/en/annunci/100428042/
"4-room flat via Barnaba Panizza, Città Giardino, Turin","€ 115,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchenette",120 m²,2,"5°, with lift, with disabled access",Apartment | Bare ownership | Medium property class,10 floors,1970,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/99337320/
"4-room flat corso Monte Grappa 82, Parella, Turin","€ 259,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",95 m²,,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,2010,Excellent / Refurbished,B,https://www.immobiliare.it/en/annunci/99181290/
"2-room flat via Cardinale Guglielmo Massaia 21, Borgo Vittoria, Turin","€ 65,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",60 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,5 floors,1970,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/97708618/
"3-room flat corso Regina Margherita 92, Vanchiglia, Turin","€ 139,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",73 m²,,"2°, with lift, with disabled access",Apartment | Full ownership | Medium property class,6 floors,1900,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/97267402/
"3-room flat via Lanusei 1, Santa Rita, Turin","€ 149,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",70 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,5 floors,1970,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101287567/
"4-room flat corso Bernardino Telesio 121, Parella, Turin","€ 325,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",105 m² - See detail,2,"1°, with lift, with disabled access",Apartment | Stately property class,4 floors,2023,New / Under construction,A+,https://www.immobiliare.it/en/annunci/100930505/
"4-room flat via Tolmino 14, San Paolo, Turin","€ 309,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",138 m² - See detail,2,"2 floors: Basement (-1), 2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,1970,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/100517442/
"3-room flat via Gaspare Gorresio 9, Lucento, Turin","€ 150,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",90 m²,,1°,Apartment | Full ownership | Stately property class,1 floor,1950,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/100264696/
"3-room flat via Dante Di Nanni 81, Cenisia, Turin","€ 130,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",70 m²,,2°,Apartment | Full ownership | Medium property class,3 floors,1920,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/100213820/
"2-room flat via Filippo Acciarini 15, Santa Rita, Turin","€ 68,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",65 m²,,"3°, with lift",Apartment | Bare ownership | Medium property class,5 floors,1960,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99942524/
"3-room flat piazza Nazario Sauro 20, Lucento, Turin","€ 115,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",85 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,7 floors,1970,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/98953414/
"2-room flat via Genova 242, Nizza Millefonti, Turin","€ 93,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",60 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,6 floors,1965,To be refurbished,G,https://www.immobiliare.it/en/annunci/98324550/
"4-room flat corso Monte Cucco 62, Pozzo Strada, Turin","€ 239,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchenette",110 m²,,"8°, with lift",Apartment | Full ownership | Stately property class,9 floors,1963,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/97465454/
"Apartment via Pavone 5, Borgo Vittoria, Turin","€ 123,000",5,"5 (2 bedrooms, 3 others), 1 bathroom, kitchen diner",155 m²,,3°,Apartment | Full ownership | Medium property class,4 floors,1950,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/97383792/
"3-room flat via Francesco De Sanctis 111, Pozzo Strada, Turin","€ 123,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",75 m²,,"4°, with lift",Apartment | Full ownership | Medium property class,9 floors,1960,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/97245578/
"Penthouse via Benvenuto Cellini 3, San Salvario - Dante, Turin","€ 339,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",97 m²,,"6°, with lift",Penthouse | Full ownership | Medium property class,6 floors,1960,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/97338286/
"3-room flat corso Traiano 150, Mirafiori Sud - Onorato Vigliani, Turin","€ 149,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",90 m²,,"9°, with lift",Apartment | Full ownership | Economic property class,9 floors,1967,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/96364228/
"Loft via Terni 19, Madonna di Campagna, Turin","€ 207,500",5+,"5+ (9 bedrooms, 1 other), 3+ bathrooms, kitchen diner",345 m²,3+,"1°, with lift",Loft | Full ownership | Medium property class,9 floors,1970,To be refurbished,G,https://www.immobiliare.it/en/annunci/101077917/
"3-room flat via venalzio 6/B, Parella, Turin","€ 169,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",100 m²,,"1°, with lift",Apartment | Full ownership | Economic property class,5 floors,1970,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/100162914/
"3-room flat corso ORBASSANO 242, Santa Rita, Turin","€ 115,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",70 m²,,1°,Apartment | Full ownership | Medium property class,5 floors,1960,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/99415696/
"4-room flat corso Moncalieri 320, Cavoretto, Turin","€ 254,000",4,"4 (3 bedrooms, 1 other), 2 bathrooms, open kitchen",120 m² | commercial 127 m² - See detail,2,1°,Apartment | Full ownership | Medium property class,3 floors,1970,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/98762170/
"4-room flat via Onorato Vigliani 87/10, Mirafiori Sud - Onorato Vigliani, Turin","€ 167,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",100 m²,2,"4°, with lift",Apartment | Full ownership | Medium property class,9 floors,1960,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/99983100/
"4-room flat Strada Lanzo 175, Barriera di Lanzo, Turin","€ 129,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen diner",95 m²,,"4°, with lift",Apartment | Full ownership | Medium property class,5 floors,1960,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/95231722/
"3-room flat corso Peschiera, 272, Pozzo Strada, Turin","€ 159,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchenette",90 m²,,"2°, with lift",Apartment | Bare ownership | Stately property class,9 floors,1965,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100517554/
"3-room flat via Chiesa della Salute 99, Borgo Vittoria, Turin","€ 85,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",80 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,5 floors,1960,To be refurbished,G,https://www.immobiliare.it/en/annunci/100516832/
"2-room flat via Felice Briccarello 4, Santa Rita, Turin","€ 85,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",63 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,5 floors,1967,To be refurbished,,https://www.immobiliare.it/en/annunci/98215560/
"2-room flat piazza Nazario Sauro 16/B, Lucento, Turin","€ 89,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",61 m²,,"2°, with lift",Apartment | Full ownership | Stately property class,7 floors,1970,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/96449928/
"4-room flat via Giovanni Servais 112, Parella, Turin","€ 200,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",130 m²,,"1°, with lift",Apartment | Full ownership | Stately property class,2 floors,1973,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/87857206/
"2-room flat via Volvera 9, San Paolo, Turin","€ 99,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",55 m²,,"4°, with lift",Apartment | Full ownership | Medium property class,6 floors,1970,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/99406052/
"3-room flat via Casalborgone 15, Madonna del Pilone, Turin","€ 219,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",78 m²,,2°,Apartment | Full ownership | Medium property class,3 floors,1953,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/97180624/
"2-room flat via Sette Comuni 50, Mirafiori Sud - Onorato Vigliani, Turin","€ 70,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",55 m²,,2°,Apartment | Full ownership | Medium property class,5 floors,1965,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/94362600/
"3-room flat via Francesco Cigna 63, Aurora, Turin","€ 159,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",100 m²,,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,8 floors,2004,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/94337828/
"2-room flat via Oulx, 28, Pozzo Strada, Turin","€ 79,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",60 m²,,2°,Apartment | Full ownership | Medium property class,3 floors,1955,To be refurbished,G,https://www.immobiliare.it/en/annunci/100918303/
"4-room flat via cimabue, Centro Europa, Turin","€ 155,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",85 m²,,"10°, with lift, with disabled access",Apartment | Full ownership | Medium property class,10 floors,1970,Excellent / Refurbished,C,https://www.immobiliare.it/en/annunci/98251232/
"Apartment via Montezemolo 26, Santa Rita, Turin","€ 325,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",151 m²,2,"2°, with lift",Apartment | Full ownership | Medium property class,4 floors,1965,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/97613550/
"3-room flat via Alfredo Oriani 18, Lucento, Turin","€ 89,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",75 m²,,"Ground floor, with lift",Apartment | Full ownership | Medium property class,5 floors,1964,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/97101230/
"Apartment corso Filippo Brunelleschi 91/B, Pozzo Strada, Turin","€ 315,000",5,"5 (2 bedrooms, 3 others), 2 bathrooms, kitchen diner",150 m²,2,"2°, with lift",Apartment | Full ownership | Stately property class,10 floors,1973,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/94908334/
"3-room flat via calvi 7, Barriera di Milano, Turin","€ 74,900",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",68 m²,,3°,Apartment | Full ownership | Economic property class,3 floors,1955,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/94823790/
"4-room flat corso Bernardino Telesio 121, Parella, Turin","€ 290,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen nook",90 m² - See detail,2,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,2023,New / Under construction,A+,https://www.immobiliare.it/en/annunci/100929139/
